Seed,Competitor,Poll 32 ID,Result Final 16,Poll 16 ID,Result Final 8,Poll 8 ID,Result Final 4,Poll 4 ID,Result Final 2,Result Winner
1,Blackbird,1,WIN,9,WIN,13,LOSE,out,,
2,Red Apple,1,LOSE,out,N/A,out,N/A,out,,
3,Anna's,2,WIN,9,LOSE,out,N/A,out,,
4,Top Donut,2,LOSE,out,N/A,out,N/A,out,,
5,Gail Ann,3,LOSE,out,N/A,out,N/A,out,,
6,Donut King,3,WIN,10,LOSE,out,N/A,out,,
7,Colonial,4,LOSE,out,N/A,out,N/A,out,,
8,Kane's,4,WIN,10,WIN,13,WIN,15,,
9,Linda's,5,LOSE,out,N/A,out,N/A,out,,
10,Difference,5,WIN,11,WIN,14,WIN,15,,
11,Dunkin's,6,LOSE,out,N/A,out,N/A,out,,
12,Honeydew,6,WIN,11,LOSE,out,N/A,out,,
13,Twin,7,LOSE,out,N/A,out,N/A,out,,
14,Donna's,7,WIN,12,WIN,14,LOSE,out,,
15,Dough Boy,8,LOSE,out,N/A,out,N/A,out,,
16,Union,8,WIN,12,LOSE,out,N/A,out,,
